"title","brand","description","starsBreakdown/3star","starsBreakdown/4star","starsBreakdown/5star","reviewsCount","price","price/currency","price/value","categoryPageData/productPosition"
"Burt's Bees Lip Balm Valentines Day Gifts, Pink Grapefruit, Mango, Coconut and Pear & Pomegranate, With Responsibly Sourced Beeswax, Tint-Free, Natural Conditioning Lip Treatment, 4 Tubes, 0.15 oz.","Burt's Bees","Burt's Bees Lip Balm instantly softens and hydrates your lips to help prevent dryness, cracking or chapping. Infused with responsibly sourced beeswax to richly moisturize and soothe lips, the nourishing oils and butters will make your lips juicy, happy and healthy. A matte finish keeps your lips their natural color, while the tint-free tube of lip moisturizer glides on smoothly to pamper dry lips while keeping them protected and hydrated. This pack features four refreshing flavors, including Pink Grapefruit, Mango, Coconut and Pear, and Pomegranate. Formulated without parabens, phthalates, petrolatum or SLS, this flavored lip balm is 100% natural origin to rejuvenate and beautify chapped lips with clean ingredients. You can conveniently tuck a tube of this moisturizing lip balm into your pocket or purse to keep natural, nurturing lip care at your fingertips. Playing by natures rules since 1984, Burts Bees uses ingredients from nature to nourish and revitalize your skin and lips, making products that have become a staple of your household. Burts Bees is the No. 1 dermatologist-recommended natural skin care brand (1). (1) Based on a September 2021 NielsenIQ national survey of U.S. Dermatologists.","0.03","0.1","0.85","25765",,"$","9.79","37"
"Valentine’s Candy Variety Pack 18 Count: Bulk Individually Wrapped Candy for Kids w/ Ring Pop, Push Pop, Baby Bottle Pop & Juicy Drop - Candy Gift for Birthdays, Party Favors & Valentine’s Day Parties","Bazooka Candy Brands","Bazooka Candy Brands lollipop candy mix is the ultimate bulk variety of hard candy this Valentine’s Day! Perfect for Valentine’s day this candy box comes with an assortment of iconic Ring Pop, Push Pop, Baby Bottle Pop, and Juicy Drop lollipops in several flavors. Bazooka Candy Brands' variety box is the gift that keeps on giving! Deliciously simple, this variety of Ring Pop and Push Pop lollipops have endless possibilities -- you can take them as Valentine's candy boxes, hand them out as party favors at the next party, or enjoy some with your kids at home. Each 18-count variety candy box contains 6 Ring Pop lollipops, 4 Push Pop lollipops, 4 Baby Bottle Pop lollipops, and 4 Juicy Drop lollipops in an assortment of fruity flavors: Strawberry (all), Blue Raspberry (all), Cosmic Strawberry Lemonade (BBP), Cherry Watermelon (PP). Unwrap the fun at your upcoming party because the variety pack means there are different tasty flavors for each to enjoy, but enough to go around and share the fun together! Bazooka Candy Brands' variety mix of hard candy lollipops is ideal for sharing! Our Valentine’s Day lollipop assortment is shelf-stable and long-lasting. Disclaimer: Not for children 3 and under.","0.03","0.08","0.86","27866",,,,"54"
"Valentines Day Gifts Movie Night Popcorn Gift Set, Valentines Day Gifts For Her Him, 10 Piece Set, 5 Gourmet Popcorn Kernels and 5 Popcorn Seasoning Flavoring, Kosher, Non-GMO Romantic Movie Night Gift Baskets Gift Idea","Pop n' Dulge",,"0.09","0.15","0.69","522",,,,"53"
"Body Restore Shower Steamers Aromatherapy 15 Pack - Valentines Day Gifts, Relaxation Birthday Gifts for Women and Men, Stress Relief and Luxury Self Care, Eucalyptus","Body Restore",,"0.1","0.15","0.66","19907",,"$","25.49","59"
"BAIMEI Jade Roller & Gua Sha, Face Roller Redness Reducing Skin Care Tools, Massager for Face, Eyes, Neck, Relieve Wrinkles, Self Care Gift for Men Women, Valentine's Day Gifts - Rose Quartz","BAIMEI",,"0.06","0.14","0.77","54895",,,,"58"
"Parima Valentines Day Gifts for Her - Trendy Travel Jewelry Case, Personalized Gifts - Pink Travel Jewelry Box | Birthday Gifts for Women Valentines Day Gifts for Teens Girls | Travel Jewelry Case","Parima",,"0.05","0.11","0.78","833",,"$","12.79","98"
"DOVE PROMISES Valentine's Day Individually Wrapped Dark Chocolate Candy Assortment, 15.8 oz Bag","Dove","Product DescriptionMade with only the finest cacao, DOVE PROMISES Silky Smooth Dark Chocolate Candy is a treat that will brighten your Valentine's Day. Each candy comes individually wrapped in foil with a special message inscribed on the inside. These assorted dark chocolate candy delights will be adored and appreciated all season long. Spread the love with friends and family by sharing a bag of DOVE PROMISES Dark Chocolate party favors, Valentines exchange, or Galentine celebrations. Whether eaten as a delightful treat or as a deliciously simple Valentine's Day dessert recipe, these iconic dark chocolates will make you feel indulgent and pampered. Treat yourself to rich dark chocolate in DOVE PROMISES Candy.Manufacturer Contact InformationHackettstown, NJ 07840-1503 USA","0.04","0.09","0.82","2009",,"$","9.28","51"
"Gifts for Women, Unique Spa Gift Basket Set for Mothers Day, Valentines Day - Christmas Gifts for Women, Mom, Friends Female, Sister, Her, Girlfriend, Wife, Teacher, Nurse","MADDIFY",,"0.04","0.17","0.77","132",,,,"60"
"Pop Fidget Toys Bulk Its Valentines Day Gifts for Kids Party Favors for Kids Toys 30 PCS Valentines Mini Pop Heart Keychain It Fidget Toy Pack Fidgets for Classroom Prizes Birthday Goodie Bag Stuffers","Genuvi",,"0.03","0.11","0.85","1469",,"$","13.99","50"
"Nut Cravings Gourmet Collection - Valentines Day Mixed Nuts Heart Shaped Gift Basket, Love in A Box (4 Assortments) Romantic Arrangement Platter, Healthy Kosher USA Made","Nut Cravings",,"0.06","0.12","0.7","19537",,,,"93"
"ChunRun Valentines Day Gifts - Drive Safe Keychain for Boyfriend - Birthday I Love You Gifts for Him Boyfriend Husband Mens","ChunRun",,"0.04","0.06","0.85","54",,,,"52"
"HeartSpace | Valentines Day Card | Handmade Sustainable Bamboo Love Cards | Anniversary Cards for Wife, Husband, Girlfriend | Wooden Memorable & Unique Valentines Gifts for Her, Him | Classic Hearts","HeartspaceCards",,"0.02","0.08","0.88","6354",,"$","13.49","92"
"32pcs Valentines Day Gifts for Kids - Valentines with Mini Pop Fidget Toys Bulk - Valentine Exchange for Girls Boys Classroom","Jetrvat",,"0","0","1","1",,"$","25.99","94"
"REESESValentines Day Milk Chocolate Peanut Butter Hearts 2LB Gold and Red Foils Individually Wrapped Bulk (2 Pounds)","CHAIN & JO SWEETS",,"0.06","0.09","0.67","161",,,,"91"
"Starburst All Pink Chewy Candy Variety Pack Valentines Candy - 1 Pound Approx 90 Of Strawberry Candy Holiday Fruit Snacks - Perfect Snacks For Kids & Adults Snacks, Candy Buffet and Valentines Day Gift Basket - Ideal Valentines Day Gifts - Candy Gift Basket","JO SWEETS",,"0.07","0.13","0.5","63",,,,"85"
"Otlonpe Rose Flower Gifts for Women,Valentines Day Gifts for Her,Birthday Gifts for Women,Gifts for Mom,Light Up Glass Rose Gifts for Girlfriend Wife,Mothers Day","Otlonpe",,"0.02","0.11","0.86","895",,"$","16.99","89"
"iWenSheng Drive Safe Keychain for Boyfriend - Drive Safe Handsome I Need You Here With Me Keyring Birthday Valentine’s Day Gifts for Him Boyfriend Husband Gifts","iWenSheng",,"0.04","0.07","0.86","3359",,"$","7.99","84"
"Butterfinger, CRUNCH, 100 Grand and Baby Ruth, Bulk 60 Count, Assorted Fun Size Chocolatey Candy Bars, Valentine’s Day Gift, 37.2 oz","Butterfinger","Enjoy the tasty variety of fan favorites like Butterfinger, CRUNCH, Baby Ruth and 100 Grand in this 60-count bag of assorted Fun Size candy bars. Discover a variety of chocolatey candy bars that are perfectly classic and delicious. From peanut-buttery Butterfinger to the chewy, crunchy goodness of Baby Ruth and 100 Grand, to the crunchy texture of CRUNCH you know and love, these classic candy bars are individually wrapped. Great for savoring as a treat, reward or during an office break getaway, these irresistible Fun Size bars also make the perfect candy to share with friends, family and coworkers. Grab a bag of assorted favorites today and add a variety of chocolatey treats to your every day.","0.06","0.14","0.76","1462",,"$","12.92","88"
"AISunGoo 30 Pcs Valentines Day Gift Bags with Cards for Kids Classroom Parties, Paper Treat Bags for Valentines Party Favors","AISunGoo",,"0","0","1","5",,"$","7.99","82"
"10 Pack Hand Cream for Dry Cracked Hands, Valentine Day Gift for Her, Christmas Gifts for Women Girls,Teacher Appreciation Gifts, Natural Plant Fragrance Mini Hand Lotion Moisturizing Hand Care Cream","YAERZI",,"0.09","0.15","0.66","2600",,"$","9.49","79"
"LEGO Roses Building Kit, Unique Gift for Valentine's Day, Botanical Collection, Gift to Build Together, 40460","LEGO",,"0.02","0.07","0.88","398",,"$","14.97","99"
"Valentines Day Cards for Kids - 36 Pack Love Bug Valentine Day Gifts for Kids & 12 Different Toy Bugs - Kids Valentines Day Cards Greeting Cards for Kids Classroom School Gifts Exchange Party Favors","catnee",,"0.03","0.11","0.85","201",,"$","11.99","96"
"Shower Steamers Aromatherapy Valentines Day Gifts for her - SWCANDY 8 Pcs Bath Bombs Valentine's Day Gifts for Women, Shower Bombs Self Care with Essential Oils, Relaxation Home SPA","SWCANDY",,"0.09","0.1","0.72","3082",,,,"76"
"GLAMOUR BOUTIQUE 27-Piece Forever Flowers Heart Shape Box - Preserved Roses, Immortal Roses That Last A Year - Eternal Rose Preserved Flowers for Delivery Prime Mothers Day & Valentines Day - Red","GLAMOUR BOUTIQUE",,"0.04","0.07","0.81","559",,"$","79.95","72"
"Meiidoshine 6 Pack Valentines Day Coffee Gift Card Holders, Teacher Valentine Gift Card Holder, Coffee Cup Giftcard Holder Appreciation Present for Teachers School Office Colleagues Staff Nurses","Meiidoshine",,"0","0.39","0.61","3",,"$","13.99","70"
"VANLOVEMAC Couples Matching Stuff Gifts for Boyfriend Girlfriend Valentine's Day Gifts for Couple Best Friends Him Her","VANLOVEMAC",,"0.03","0.1","0.84","384",,"$","9.99","90"
"SAPGIF Valentines Day Gifts for Her, Funny 12 OZ Coffee Mug Gifts for Girlfriend Wife from Boyfriend Husband Him, Cute Stuff for Women Her, Naughty Valentines Presents Gift Ideas","SAPGIF",,"0","0","0.72","10",,"$","11.99","83"
"Childom Valentines Day Gifts for Her,Birthday Gifts for Women,Artificial Preserved Flowers,Valentines Gifts for Mom Wife Girlfriend Grandma,Valentines Colorful Rainbow Light Up Rose in A Glass Dome","Childom",,"0.04","0.1","0.83","18440",,,,"69"
"ORIENTAL CHERRY Valentines Day Gifts for Kids - 24 Valentines Cards with Pop Bubbles Bulk- Valentine Exchange for Girls Boys School Class Classroom Fidget Toys Party Favors","ORIENTAL CHERRY",,"0.05","0.1","0.83","675",,"$","13.99","78"
"Hallmark Paper Wonder Musical Peanuts Pop Up Valentines Day Card (Plays Linus and Lucy), 999VCG1021","Hallmark",,"0.02","0.07","0.88","1898",,"$","9.49","75"
"LIGHT UP & POP UP Valentines Day Card Plays Music from 'Unchained Melody' - Romantic Happy Valentines Card for Him & Her - Valentines Card for Husband & Wife, Boyfriend or Girlfriend - 1 Pop Up Card","100 GREETINGS",,"0.03","0.07","0.86","3525",,"$","16.95","77"
"Birthday Gifts for Women, Relaxing Spa Gift Basket Set, Unique Gift Ideas for Women, Valentines Day Gifts for Her Mom Sister Best Friend Wife, Coworker Teacher Nurse Gifts for Women","EUASOO",,"0.04","0.09","0.85","1580",,"$","22.11","73"
"30 Pack Valentines Day Gifts for Kids, Mini Mochi Squishy Toys Set with Valentines Day Cards, Kids Valentine School Classroom Party Favor Stress Fidget Toys Bulk, Valentine's Day Party Exchange Gift","Feltom",,"0.06","0.18","0.65","51",,"$","13.99","67"
"Humorous Valentine's Day Card for Snoring Husband, Happy Vday Gifts Cards for Husband Wife Women Men, Snoring Loud Next To me Bday Card","Huameigf",,"0.03","0.08","0.89","97",,"$","6.99","68"
"ChocZero Keto Chocolate Truffle Gift - Premium Healthy Chocolates - Low Carb Present - Zero Sugar Valentine's Day Hazelnut Truffles - 16 Truffles, 8.5 Ounces Total","ChocZero",,"0.05","0.1","0.77","370",,,,"64"
"HERSHEY'S HUGS & KISSES Assorted Flavored, Valentine's Day Candy Bag, 23.5 oz","HERSHEY'S","This HERSHEY'S HUGS & KISSES Valentine's Day milk chocolate and white creme candy assortment includes two delicious, creamy chocolate treats. HERSHEY'S HUGS candies are a delectable combination featuring HERSHEY'S milk chocolate hugged by sweet white creme, and HERSHEY'S KISSES candies are the classic milk chocolate treats you already know and love. Gift these bite-size chocolates to a loved one or treat yourself at home, at work, or on the go. Individually wrapped in festive pink and silver foils and placed in an assortment bag for your sharing, gifting and snacking convenience, these treats are perfect for Valentine exchanges.","0.04","0.09","0.85","1647",,,,"61"
"Kinder Bueno Mini, Milk Chocolate and Hazelnut Cream, Valentine's Day Gift, Individually Wrapped Chocolate Bars, 5.7 oz","Kinder Bueno","Discover the unique and exceptional taste of Kinder Bueno Mini in this bag of bite sized chocolates. This share size bag contains 5.7 ounces of Kinder Bueno Mini chocolate bars. Smooth milk chocolate, creamy hazelnut filling and a crispy wafer deliver sensational taste with every bite. Make an ordinary moment extraordinary by adding the crispy, creamy deliciousness of a Kinder Bueno Mini milk chocolate bars to your coffee moment or movie night. These mini bars are perfect for enjoying with a friend. You can also make your desserts and baked goods more delicious by topping them with Kinder Bueno Mini.","0.02","0.06","0.88","11111",,,,"63"
"DUALFUN 24Packs Valentines Day Gifts for Kids, POP IT Valentines Cards with Keychains, Valentines Day Cards for Kids School Classroom Exchange Party Favors","DUALFUN",,"0.07","0.06","0.87","23",,"$","20.98","95"
"Confucia 32 Pack Valentine's Day Gifts Prefilled Mini Heart-Shaped Fidget Pop Toys, Perfect for Kids' Party Favors,School Gifts Exchange,Classroom Prizes, Safe & Scent-Free Keychain with Cards","Confucia",,"0","0","0",,,"$","16.99","55"
"Gifts for Women, Mom - Relaxing Spa Gift Basket for Birthday, Gifts for Women, Mothers Day, Valentines Day, Christmas, Unique Gift ideas for Sister, Wife, Grandma, Gifts for Women Who Have Everything","CITTA",,"0.02","0.08","0.88","567",,,,"81"
"Hallmark 15"" Extra Large Gift Bag with Tissue Paper (Happy Valentine's Day) for Kids, Teachers, Spouses","Hallmark",,"0.04","0.09","0.83","837",,"$","6.99","74"
"Godiva Chocolatier Valentine’s Day Heart Chocolate Gift Box - 14 Piece Assorted Milk, White and Dark Chocolate with Gourmet Fillings – Elegant Treat for Women or Men","Godiva Chocolatier",,"0.06","0.11","0.79","845",,"$","32.25","49"
"90PCS Prefilled Valentines Cards with Pop Fidget Toys Bulk-Valentines Day Gifts for Kids,Valentine Exchange Gift for Classroom,School Party Favors for Kids,Mini Pop Keychain,Valentine's Day Prize Toys","BicMan",,"0.04","0.12","0.81","223",,"$","9.99","57"
"U UQUI Preserved Real Rose with I Love You Heart Necklace 100 Languages, Valentines Day Gifts for Her, Birthday Gifts for Women Mom Girlfriend Wife,Forever Eternal Flower for Anniversary, Red Roses","U UQUI",,"0.05","0.12","0.77","1495",,"$","25.99","100"
"Hallmark 13"" Large Valentine's Day Gift Bags with Tissue Paper (2 Bags: Vintage Red Truck, Black and White Stripes) for Adults, Spouse, Husband, Boyfriend","Hallmark","LOVE FOR ALL. Celebrate love in all the ways it fills your life with this handsome bundle of Valentines Day gift bags. Pack of 2 large gift bags are perfect for books, toys, clothing or electronics. Unique designs including a classic red truck and black and white stripes make these gift bags great to have on hand for kids parties, classmate and teacher gifts, and presents for your husband, boyfriend, son, brother, friends and family. The Hallmark brand is widely recognized as the very best for greeting cards, gift wrap, and more. For more than 100 years, Hallmark has been helping its customers make everyday moments more beautiful and celebrations more joyful.","0.02","0.1","0.85","282",,"$","5.99","62"
"Ferrero Collection, 16 Count, Assorted Milk and Dark Chocolate Hazelnut and Coconut, Valentine's Chocolate, 6.1 oz","Ferrero Rocher",,"0.03","0.09","0.85","29239",,,,"86"
"28 Packs Valentines Day Greeting Cards with Cute Mochi Squishies Toys for Kids Stress Relief Valentine Exchange Gifts, Valentine Classroom Prizes Party Favors","DINESIL",,"0.09","0.15","0.7","215",,,,"80"
"Valentines Day Gifts for Kids 28 Pack Assorted Valentines Day Stationery Set, Valentines Cards Valentines Pencils Erasers Notepads, Valentine Treat Bags Goodie Bags Fillers Valentines Favors for Kids","AOJOYS",,"0.08","0.08","0.77","111",,"$","14.99","109"
"Valentines Day Gifts for Her, Funny Romantic Naughty Gifts for Her Tin Soy Candles Stress Relief Unique Gifts Ideas for Girlfriend Wife Women, 9oz Scented Candles","TGOOD",,"0.07","0.13","0.7","478",,"$","22.98","71"
"MEADIN Valentines Day Gifts for Kids - 32 Pack Prefilled Heart Pop Fidget Valentines Day Cards for Kids School - Valentine Exchange Cards for Boys Girls Classroom Class Gifts Party Favors","MEADIN",,"0","0.1","0.9","33",,"$","15.99","66"
"Couples Gifts Cute Keychain for Boyfriend Girlfriend Best Friend Christmas Valentines Day Matching Couple Stuff for Wife Husband Him Her Cat Lover Fiancée Anniversary Birthday Wedding Present Keyring","VANLOVEMAC",,"0.04","0.1","0.84","1043",,"$","13.99","128"
"Valentines Day Love Gifts for Him Husband Boyfriend - Gifts for Him, Mens Valentines Gifts, 17 oz Insulated Tumbler - Anniversary Birthday Gifts for Him Men - Husband Gifts from Wife","risadas",,"0.04","0.12","0.77","263",,"$","8.99","133"
"Valentines Day Gifts for Her, Galaxy Glass Rose Flower Forever Eternal Crystal Light Up Rose in Glass Dome with Butterfly Birthday Gifts for Women Mom Wife Girlfriend Grandma Purple","Pusuny",,"0.04","0.08","0.85","734",,"$","19.99","116"
"llxxeyopqdxz Husband Birthday Card From Wife, Wallet Insert Card, Anniversary Valentine Gifts for Men or Women, Love Gift for Him, Her, Boyfriend, Girlfriend, Birthday Gifts for Wife Husband","llxxeyopqdxz","Husband Birthday Card From, Wallet Insert Card, Anniversary Valentine Gifts for Men or Women, Love Gift for Him, Her, Boyfriend, Girlfriend, Birthday Gifts for Wife Husband, Romantic Gift Card","0.07","0.12","0.74","227",,"$","4.88","127"
"JELMOK Valentines Day Cards for Kids School, 32 Set Valentine Day Gifts Exchange Cards Crazy Straws Bulk for Kids, Valentine's Day Cards for Class Classroom Boys Girls Party Favors (#2)","JELMOK",,"0","0","0.79","33",,"$","12.99","111"
"Lebana Preserved Red Real Rose with I Love You Necklace - Birthday Gifts for Her Mom Wife Girlfriend Valentines Day Gifts For Her Mothers Day -Red","Lebana",,"0.07","0.16","0.72","167",,"$","65.99","138"
"ANYGIFT Valentines Day Gifts for Kids, 24 Packs Animal Building Blocks with Valentines Day Cards for Kids School, Valentines Gifts for Kids Boys Girls Classroom Party Favors Exchange Gifts","ANYGIFT",,"0.04","0.1","0.81","35",,"$","17.98","144"
"Pusuny Valentines Day Gifts for Her, Galaxy Glass Rose Forever Eternal Crystal Flower Light Up Rose in Glass Dome with Butterfly Birthday Gift for Women Mom Wife Girlfriend Grandma Colorful","Pusuny",,"0.06","0.1","0.8","578",,,,"110"
"24 Packs Valentines Day Cards for Kids with Fastfood Building Blocks for School Classroom Valentine's Gifts Exchange, Valentine's Party Favors for Kids, Valentine's Gift Cards Bulk, Valentine's Prizes","SpringFlower",,"0","0","1","2",,"$","19.99","134"
"Valentines Day Gifts Cards for Kids - 30 Packs Filled Hearts Valentines Day Cards with Emoticon Plush Keychains Classroom School Gift Exchange Party Favors Bulk Toys Treasure Box Carnival Prizes","Baisoo",,"0.08","0.16","0.74","188",,"$","26.99","141"
"ShyLizard 24PCS Valentine Cards for Kids Classroom School, Colorful Dough Toys with Cards Valentine Exchange Gifts, Kids Valentine Day Cards Gifts Exchange, School Classroom Valentines Party Favors","ShyLizard",,"0","0.11","0.89","57",,"$","16.99","126"
"ONEAGE Funny Valentines Day Card for Men Husband Boyfriend - Naughty Card Gift,Birthday Anniversary Christmas Stocking Stuffers Card for Him","ONEAGE",,"0.04","0.06","0.88","117",,"$","1.99","137"
"U UQUI Rose Bear Valentines Day Gifts for Her, Flower Bear Rose Teddy Bear with Box Lights Necklace Balloon Card, Cute Romantic I Love You Anniversary Birthday Valentines Day Gifts & Decor","U UQUI",,"0.07","0.12","0.75","2069",,"$","26.99","135"
"24PCS Valentines Day Cards with Small Stuffed Animals Plush Toys Set, Little Mini Stuffed Animal Keychain Valentine Exchange Cards for Kids Classroom School Exchange Prize, Valentines Day Gifts","CAMIRUS","24PCS Valentines Day Cards with Small Stuffed Animals Plush Toys Set, Little Mini Stuffed Animal Keychain Valentine Exchange Cards for Kids Classroom School Exchange Prize, Valentines Day Gifts","0.07","0.17","0.67","18",,"$","16.99","125"
"YNERHAI 2 Pack 13"" Valentines Gift Bags, Valentines Bags with Wrapping Paper, Valentines Day Gift Bags for Kids Him Her Boyfriend Girlfriend Classroom, Valentines Gift for Men Woman","YNERHAI",,"0.05","0.12","0.8","118",,"$","6.99","142"
"Valentines Day Gifts for Her Preserved Red Real Rose with I Love You Necklace -Eternal Flowers Rose Gifts for Mom Wife Girlfriend on Valentines Day Mothers Day Anniversary Birthday Gifts for Women","TRAALL",,"0.04","0.06","0.85","140",,,,"122"
"Inspirational Bracelets for Women Natural Stone Healing Relaxation Chakra Bracelet Gifts for Graduation Birthday Christmas Mothers day Valentines Thanksgiving Teacher Appreciation Gifts for Her Mom Best Friend Sister Women Girls","Pingyongchang","Embrace Meaningful Connections with Our Inspirational Bracelet.Present this carefully curated bracelet to your female friend, conveying your appreciation and friendship. With its adjustable size and natural stone beauty, it's not just an accessory but a heartfelt connection. Order now to make her special moments even more memorable.","0.03","0.12","0.8","98",,,,"131"
"Valentines Day Gifts for Her Wife, Valentines Gifts for Her, Wife Valentines Day Gifts, Gifts for Her, Girlfriend Gifts, Birthday Gifts for Her, 20 oz Insulated Tumbler, Valentines Day Her Gifts","OOPERAY",,"0.07","0.1","0.77","398",,"$","3.99","124"
"Valentines Day Cards for Kids - 32 Crazy Loop Reusable Drinking Straws with Colorful Cards, Valentine Party Favors for Boys & Girls, Kids Exchange Cards for School Classroom, Ideal Valentine Gifts","V-Opitos",,"0.1","0.15","0.65","219",,"$","17.99","129"
"LParkin Drive Safe Keychain Handsome I Love You Trucker Husband Gift for Husband Dad Gift Valentines Day Stocking Stuffer","LParkin",,"0.03","0.08","0.88","11974",,,,"115"
"Ptyfavor Valentines Day Gifts for Kids Class - 36 Pack Valentines Gift Cards with Squishies Animal Toys for School Class Exchange Gifts,  Boys Girls Toddlers Valentines Gifts","Ptyfavor",,"0.08","0.09","0.8","271",,"$","19.95","121"
"ASELFAD Morse Code Bracelets for Women,Friendships Inspirational gifts for Women Mom Wife Friends Female Best Friend Sister Grandma","ASELFAD",,"0.04","0.11","0.8","3553",,"$","9.99","120"
"Valentines Day Gifts for Her Heart Earrigns Love Heart Message Printed Lucite Arch Dangle Earrings Galentines Day Gifts Date Party Jewelry","BSJELL",,"0.05","0.1","0.8","51",,,,"117"
"Anditoy 24 PCS Valentines Cards with Mini Heart Pop Toys for Kids School Class Classroom Valentines Day Gifts Prizes Party Favors","Anditoy","Anditoy 24 PCS Valentines Cards with Mini Heart Pop Toys  Features: 1. The 24 PCS Valentines Cards with Mini Heart Pop Toys are perfect for kids, boys, girls, toddlers, valentines toys, valentines gifts, valentines party favors, valentines day cards gifts, school event prizes, class exchanging gifts 2. The Valentines mini pop toy is in heart shape, it's unique, specially designed for Valentine's Day, also in 8 bright colors, have a fun and Happy Valentines Day 3. Also there are 24 pcs exquisite Valentines Day Cards in the package that in 3 colors, each color 8 pcs - best Valentines Gifts with cards 4. There is a hole on the card, just use the chain (included) to connect the pop and card, so it is a valentines day gift with card 5. Push fidget sensory pop toys, press the bubble to hear the POP, stimulate your auditory senses for pleasure and release stress  Specifications: Styles: Heart Size: As pic shows Materials: Silicone","0.05","0.14","0.78","204",,"$","9.99","118"
"Greenke Valentines Day Rose Gifts for Her, Galaxy Purple Butterfly Rose in Glass Dome, Light Up Forever Rose Birthday Gifts for Women Mom Grandma Wife, Eternal Rose Gift for Mother's Day Anniversary","Greenke",,"0.04","0.1","0.83","2272",,"$","22.89","106"
"GIFTINBOX 24 Pack Valentines Day Cards with Heart Shaped Glasses Valentines Day Gifts For Kids Valentines Classroom Exchange Valentines Cards For Kids Classroom","GIFTINBOX",,"0.03","0.06","0.88","155",,"$","23.99","98"
"Valentines Day Gifts for Kids, 30 Pack Valentines Day Cards for Kids with Mini Heart Pop Fidget Toys for Boys Girls, Valentines Party Favors Classroom School Exchange Treat Prizes Activity for Class","UDOGI","Perfect for kids Valentine's Day gifts, valentines cards for kids classroom, valentines day cards for kids school, valentines day decor, children's Valentine's Day cards, classroom activities, gift exchanges, school classroom rewards and party favors. Package includes: 30 * Valentine Heat pop toys (10 designs) 30 * Valentines cards (3 designs) 30* OPP Bags 1* Exquisite box","0.08","0.12","0.76","90",,"$","15.99","101"
"SURCVIO Valentines Day Gifts for Kids, 28 Pack Mini Bubble Wands with Greeting Cards Valentines Animal Themes for Kids, Valentine's Day School Prizes Party Favor, Classroom Exchange Gifts","SURCVIO",,"0.04","0.12","0.79","101",,"$","17.99","103"
"Thuodo 28 Pack Valentines Day Stationery Gift Card Set for Kids, Valentines Classmates Exchange Gifts School Classroom Party Favors Supplies","Thuodo",,"0.05","0.15","0.71","47",,"$","15.99","97"
"TranquilBliss Rose Bear with Box - Artificial Flowers Rose Teddy Bear with Box, Greeting Card, Necklace - Cute & Romantic Valentine’s Day Gifts for Her, Women, Girlfriend, Wife (Red)","TranquilBliss",,"0","0","0.75","6",,"$","29.99","100"
"28 Packs Valentines Day Gifts Cards for Kids with Sticky Wall Climbing Men Ninja Set,Stress Relief Tricky Toys Wall Climbers for Kids Party Favor, Classroom Exchange Prizes, Valentine Greeting Cards","Shemira",,"0.12","0.09","0.64","58",,"$","21.99","105"
"ASELFAD Preserved Real Red Rose with I Love You Necklace -Eternal Flowers Rose Gifts for Mom Wife Girlfriend, Valentines Day Gifts for Her, Mothers Day Christmas Anniversary Birthday Gifts for Women","ASELFAD",,"0.05","0.12","0.78","5700",,"$","29.99","107"
"Wallet Insert Card Gifts for Men Husband from Wife Girlfriend Boyfriend Birthday Gifts Metal Mini Love Note Valentine Wedding Gifts for Groom Bride Him Her Deployment Gifts","Fleure Esme","When I say I love you more, I don't mean I love you more than you love me. I mean I love you more than the bad days ahead of us, I love you more than any fight we will ever have. I love you more than the distance between us, I love you more than any obstacle that could try and come between us. I love you the most. Every piece is crafted with love, and handled with care. Fleure Esme is an engraved crafts workshop committed to providing trendy gifts ideas at an affordable price that your significant other would love! You can trust that all our pieces are hand-crafted by people who really care.","0.03","0.06","0.88","1608",,"$","13.99","192"
"Valentines Day Cards for Kids- 24 Set of Butter Slime with Valentine's Day Card Bulk, School Classroom Valentine's Gifts Exchange, Valentine's Party Favors for Kids, Valentine's Prizes","AuroTops",,"0.1","0.05","0.7","49",,,,"104"
